Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 50474 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  48.00-49.00  sec  1.13 MBytes  9521 Kbits/sec    6   69.9 KBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10522 Kbits/sec    4   87.4 KBytes       
[  4]  50.00-51.00  sec  1.13 MBytes  9522 Kbits/sec    4    105 KBytes       
[  4]  51.00-52.00  sec  1.19 MBytes  10021 Kbits/sec    9   87.4 KBytes       
[  4]  52.00-53.00  sec  1.19 MBytes  10020 Kbits/sec    2   96.1 KBytes       
[  4]  53.00-54.00  sec  1.19 MBytes  10024 Kbits/sec   10   78.6 KBytes       
[  4]  54.00-55.00  sec  1.19 MBytes  10021 Kbits/sec    4   96.1 KBytes       
[  4]  55.00-56.00  sec  1.08 MBytes  9019 Kbits/sec    4   69.9 KBytes       
[  4]  56.00-57.00  sec  1.25 MBytes  10523 Kbits/sec    2   87.4 KBytes       
[  4]  57.00-58.00  sec  1.19 MBytes  10015 Kbits/sec    4    105 KBytes       
[  4]  58.00-59.00  sec  1.19 MBytes  10023 Kbits/sec    4   78.6 KBytes       
[  4]  59.00-60.00  sec  1.19 MBytes  10027 Kbits/sec    4   96.1 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  71.9 MBytes  10053 Kbits/sec  328             sender
[  4]   0.00-60.00  sec  71.1 MBytes  9939 Kbits/sec                  receiver

iperf Done.
