Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 50118 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  57.00-58.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  58.00-59.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  59.00-60.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  60.00-61.00  sec  1.12 MBytes  9384 Kbits/sec    0   76.4 KBytes       
[  4]  61.00-62.00  sec   954 KBytes  7817 Kbits/sec    0   79.2 KBytes       
[  4]  62.00-63.00  sec  1.12 MBytes  9386 Kbits/sec    0   76.4 KBytes       
[  4]  63.00-64.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  64.00-65.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  65.00-66.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  66.00-67.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  67.00-68.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  68.00-69.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  69.00-70.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  70.00-71.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  71.00-72.00  sec  1.06 MBytes  8858 Kbits/sec    0   5.66 KBytes       
[  4]  72.00-73.00  sec  1.06 MBytes  8862 Kbits/sec    0   76.4 KBytes       
[  4]  73.00-74.00  sec  1.12 MBytes  9386 Kbits/sec    0   76.4 KBytes       
[  4]  74.00-75.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  75.00-76.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  76.00-77.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  77.00-78.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  78.00-79.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  79.00-80.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  80.00-81.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  81.00-82.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  82.00-83.00  sec   954 KBytes  7818 Kbits/sec    0   76.4 KBytes       
[  4]  83.00-84.00  sec  1.12 MBytes  9385 Kbits/sec    0   76.4 KBytes       
[  4]  84.00-85.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  85.00-86.00  sec  1.18 MBytes  9904 Kbits/sec    0   76.4 KBytes       
[  4]  86.00-87.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  87.00-88.00  sec  1.12 MBytes  9383 Kbits/sec    0   76.4 KBytes       
[  4]  88.00-88.61  sec   764 KBytes  10339 Kbits/sec    0   76.4 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-88.61  sec   100 MBytes  9495 Kbits/sec    0             sender
[  4]   0.00-88.61  sec  99.4 MBytes  9409 Kbits/sec                  receiver

iperf Done.
