iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 02:37:16 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 45636 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  41.00-42.00  sec  1.25 MBytes  10486 Kbits/sec    0   7.19 MBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10486 Kbits/sec    0   7.27 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10485 Kbits/sec    0   7.41 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10487 Kbits/sec    0   7.58 MBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10485 Kbits/sec    0   7.77 MBytes       
[  4]  46.00-47.00  sec  1.25 MBytes  10486 Kbits/sec    0   7.96 MBytes       
[  4]  47.00-48.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.15 MBytes       
[  4]  48.00-49.00  sec  1.25 MBytes  10485 Kbits/sec    0   8.34 MBytes       
[  4]  49.00-50.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.53 MBytes       
[  4]  50.00-51.00  sec  1.25 MBytes  10485 Kbits/sec    0   8.72 MBytes       
[  4]  51.00-52.00  sec  1.25 MBytes  10485 Kbits/sec    0   8.88 MBytes       
[  4]  52.00-53.00  sec  1.25 MBytes  10487 Kbits/sec    0   9.04 MBytes       
[  4]  53.00-54.00  sec  1.25 MBytes  10484 Kbits/sec    0   9.18 MBytes       
[  4]  54.00-55.00  sec  1.25 MBytes  10486 Kbits/sec    0   9.30 MBytes       
[  4]  55.00-56.00  sec  1.25 MBytes  10487 Kbits/sec    0   9.41 MBytes       
[  4]  56.00-57.00  sec  1.25 MBytes  10485 Kbits/sec    0   9.51 MBytes       
[  4]  57.00-58.00  sec  1.25 MBytes  10486 Kbits/sec    0   9.59 MBytes       
[  4]  58.00-59.00  sec  1.25 MBytes  10485 Kbits/sec    0   9.67 MBytes       
[  4]  59.00-60.00  sec  1.25 MBytes  10486 Kbits/sec    0   9.73 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   205 MBytes  28660 Kbits/sec  1508             sender
[  4]   0.00-60.00  sec  73.3 MBytes  10246 Kbits/sec                  receiver
CPU Utilization: local/sender 0.4% (0.1%u/0.3%s), remote/receiver 1.7% (0.4%u/1.3%s)

iperf Done.
