Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 46608 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  51.00-52.00  sec  28.8 MBytes  241165 Kbits/sec    0   3.15 MBytes       
[  5]  52.00-53.00  sec  28.8 MBytes  241180 Kbits/sec    0   3.15 MBytes       
[  5]  53.00-54.00  sec  27.5 MBytes  230680 Kbits/sec    0   3.15 MBytes       
[  5]  54.00-55.00  sec  28.8 MBytes  241173 Kbits/sec    0   3.15 MBytes       
[  5]  55.00-56.00  sec  28.8 MBytes  241172 Kbits/sec    0   3.15 MBytes       
[  5]  56.00-57.00  sec  28.8 MBytes  241178 Kbits/sec    0   3.15 MBytes       
[  5]  57.00-58.00  sec  27.5 MBytes  230684 Kbits/sec    0   3.15 MBytes       
[  5]  58.00-59.00  sec  28.8 MBytes  241168 Kbits/sec    0   3.15 MBytes       
[  5]  59.00-60.00  sec  28.8 MBytes  241170 Kbits/sec    0   3.15 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.67 GBytes  238977 Kbits/sec    0             sender
[  5]   0.00-60.14  sec  1.67 GBytes  238369 Kbits/sec                  receiver

iperf Done.
