BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,250,200
0,,10000,250,200
0,,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
