BBR_goodput,CUBIC_goodput,Buffer,Bandwidth,rtt
89840,92968,10000,100,200
90145,92969,10000,100,200
89825,92969,10000,100,200
90449,92969,10000,100,200
233886,238977,10000,250,5
233996,238969,10000,250,5
233867,238964,10000,250,5
233851,238964,10000,250,5
233868,238962,10000,250,5
233920,238822,10000,250,10
233895,238811,10000,250,10
233883,238803,10000,250,10
233900,238819,10000,250,10
233803,238814,10000,250,10
233262,237068,10000,250,25
233256,238364,10000,250,25
233255,238410,10000,250,25
233257,238337,10000,250,25
233256,238367,10000,250,25
231800,237450,10000,250,50
231848,236008,10000,250,50
231909,236150,10000,250,50
231916,237449,10000,250,50
231942,236465,10000,250,50
230347,235758,10000,250,75
231997,236047,10000,250,75
230336,235464,10000,250,75
230242,235659,10000,250,75
230261,236220,10000,250,75
231499,235573,10000,250,100
231621,235559,10000,250,100
232179,235537,10000,250,100
232150,235547,10000,250,100
231141,235545,10000,250,100
227902,233506,10000,250,150
229031,233480,10000,250,150
229071,233494,10000,250,150
229027,233519,10000,250,150
228403,233498,10000,250,150
224901,231352,10000,250,200
224927,231304,10000,250,200
225730,231307,10000,250,200
224138,231303,10000,250,200
225611,231313,10000,250,200
467715,477613,10000,500,5
467799,477522,10000,500,5
467969,477520,10000,500,5
467747,477545,10000,500,5
467834,477560,10000,500,5
467752,477279,10000,500,10
467917,477480,10000,500,10
467844,477382,10000,500,10
467676,477510,10000,500,10
467694,477405,10000,500,10
466096,476161,10000,500,25
466096,476240,10000,500,25
466115,476181,10000,500,25
466105,476278,10000,500,25
466108,476198,10000,500,25
465463,474029,10000,500,50
467747,473956,10000,500,50
464994,474455,10000,500,50
464571,474445,10000,500,50
464524,474025,10000,500,50
459965,471943,10000,500,75
458954,471941,10000,500,75
458757,471948,10000,500,75
460511,472000,10000,500,75
460134,472022,10000,500,75
457932,469868,10000,500,100
455340,469790,10000,500,100
458218,469879,10000,500,100
457361,469867,10000,500,100
458084,469926,10000,500,100
450903,465426,10000,500,150
453034,465385,10000,500,150
451992,465389,10000,500,150
456509,465712,10000,500,150
452937,465391,10000,500,150
444873,459612,10000,500,200
444040,460772,10000,500,200
451674,460852,10000,500,200
442853,460053,10000,500,200
444253,460803,10000,500,200
701001,714831,10000,750,5
701073,714612,10000,750,5
700910,714939,10000,750,5
701111,714517,10000,750,5
700938,714706,10000,750,5
701623,713385,10000,750,10
701795,713868,10000,750,10
701618,713487,10000,750,10
701679,713395,10000,750,10
701670,715131,10000,750,10
698602,713263,10000,750,25
698592,714447,10000,750,25
698788,713355,10000,750,25
698682,713364,10000,750,25
698634,713992,10000,750,25
693803,709589,10000,750,50
693880,709397,10000,750,50
693843,709487,10000,750,50
693868,709544,10000,750,50
693987,709495,10000,750,50
697139,706787,10000,750,75
691932,707178,10000,750,75
691976,706861,10000,750,75
691786,706901,10000,750,75
695385,707288,10000,750,75
692650,703617,10000,750,100
691368,703812,10000,750,100
689016,703640,10000,750,100
691727,703655,10000,750,100
689406,703578,10000,750,100
676374,696976,10000,750,150
672773,696162,10000,750,150
678193,697586,10000,750,150
679109,696351,10000,750,150
679887,697575,10000,750,150
659673,688394,10000,750,200
660625,688587,10000,750,200
662702,688358,10000,750,200
664847,688438,10000,750,200
661796,688394,10000,750,200
935285,953415,10000,1000,5
934767,953354,10000,1000,5
934778,952756,10000,1000,5
934646,952436,10000,1000,5
934832,951466,10000,1000,5
933903,950471,10000,1000,10
934105,950532,10000,1000,10
933837,950548,10000,1000,10
933969,950564,10000,1000,10
933667,954668,10000,1000,10
930078,947534,10000,1000,25
929986,951052,10000,1000,25
930071,947873,10000,1000,25
930218,948340,10000,1000,25
930321,947318,10000,1000,25
930248,944862,10000,1000,50
924811,944107,10000,1000,50
928411,945890,10000,1000,50
927146,944822,10000,1000,50
924857,944238,10000,1000,50
923406,940718,10000,1000,75
918723,940953,10000,1000,75
923166,941024,10000,1000,75
920345,940824,10000,1000,75
923503,940952,10000,1000,75
912311,934435,10000,1000,100
912787,938545,10000,1000,100
912706,935023,10000,1000,100
910552,934511,10000,1000,100
910058,938335,10000,1000,100
896355,925211,10000,1000,150
895516,928160,10000,1000,150
901842,924998,10000,1000,150
900691,925553,10000,1000,150
897276,924730,10000,1000,150
881261,914161,10000,1000,200
883293,913418,10000,1000,200
880307,914827,10000,1000,200
880779,914311,10000,1000,200
883354,914956,10000,1000,200
