BBR_latency,CUBIC_latency,Buffer,Bandwidth,rtt
0.87,0.87,100,1000,25
0.87,0.87,100,1000,50
0.87,0.87,100,1000,50
0.87,0.87,100,1000,50
0.87,0.87,100,1000,50
0.87,0.87,100,1000,50
0.87,0.88,100,1000,75
0.87,0.88,100,1000,75
0.87,0.87,100,1000,75
0.87,0.87,100,1000,75
0.88,0.87,100,1000,75
0.87,0.87,100,1000,100
0.87,0.87,100,1000,100
0.87,0.87,100,1000,100
0.87,0.87,100,1000,100
0.87,0.87,100,1000,100
0.87,0.87,100,1000,150
0.88,0.87,100,1000,150
0.87,0.87,100,1000,150
0.87,0.87,100,1000,150
0.87,0.87,100,1000,150
0.87,0.87,100,1000,200
0.87,0.87,100,1000,200
0.87,0.87,100,1000,200
0.87,0.87,100,1000,200
0.87,0.87,100,1000,200
86.53,85.02,10000,10,5
86.53,85.03,10000,10,5
86.10,85.02,10000,10,5
86.26,85.02,10000,10,5
86.48,85.02,10000,10,5
86.59,85.02,10000,10,10
86.53,85.02,10000,10,10
86.48,85.02,10000,10,10
86.48,85.02,10000,10,10
86.54,85.02,10000,10,10
86.55,86.06,10000,10,25
86.30,85.95,10000,10,25
86.48,85.02,10000,10,25
86.26,85.02,10000,10,25
86.54,85.02,10000,10,25
86.48,85.95,10000,10,50
86.53,85.02,10000,10,50
86.48,85.02,10000,10,50
86.59,85.02,10000,10,50
86.31,85.02,10000,10,50
86.53,85.52,10000,10,75
86.58,85.95,10000,10,75
86.28,86.06,10000,10,75
86.53,85.02,10000,10,75
86.53,85.95,10000,10,75
86.28,85.02,10000,10,100
86.48,85.02,10000,10,100
86.54,85.02,10000,10,100
86.53,85.95,10000,10,100
86.53,85.02,10000,10,100
86.53,85.02,10000,10,150
86.53,85.02,10000,10,150
86.31,85.02,10000,10,150
86.53,85.02,10000,10,150
86.53,85.95,10000,10,150
86.53,85.02,10000,10,200
86.53,85.02,10000,10,200
86.36,85.95,10000,10,200
86.53,85.02,10000,10,200
86.53,85.02,10000,10,200
43.24,42.68,10000,20,5
43.26,42.68,10000,20,5
43.08,42.68,10000,20,5
43.26,42.68,10000,20,5
43.26,42.60,10000,20,5
43.07,42.60,10000,20,10
43.13,42.91,10000,20,10
43.27,42.68,10000,20,10
43.09,42.68,10000,20,10
43.20,42.93,10000,20,10
43.27,42.68,10000,20,25
43.23,42.54,10000,20,25
43.13,42.68,10000,20,25
43.26,42.96,10000,20,25
43.08,42.68,10000,20,25
43.07,42.66,10000,20,50
43.29,42.60,10000,20,50
43.27,42.71,10000,20,50
43.23,42.68,10000,20,50
43.26,42.96,10000,20,50
43.27,42.60,10000,20,75
43.06,42.68,10000,20,75
43.23,42.68,10000,20,75
43.14,42.68,10000,20,75
43.15,42.68,10000,20,75
43.27,42.91,10000,20,100
43.23,42.68,10000,20,100
43.07,42.68,10000,20,100
43.10,42.60,10000,20,100
43.15,42.60,10000,20,100
43.02,42.68,10000,20,150
43.27,42.68,10000,20,150
43.26,42.93,10000,20,150
43.26,42.60,10000,20,150
43.02,42.63,10000,20,150
43.02,42.91,10000,20,200
43.30,42.68,10000,20,200
43.26,42.60,10000,20,200
43.26,42.68,10000,20,200
43.21,42.68,10000,20,200
17.30,17.05,10000,50,5
17.28,17.06,10000,50,5
17.28,17.05,10000,50,5
17.32,17.06,10000,50,5
17.25,17.06,10000,50,5
17.27,17.06,10000,50,10
17.25,17.05,10000,50,10
17.26,17.06,10000,50,10
17.29,17.06,10000,50,10
17.22,17.06,10000,50,10
17.23,17.06,10000,50,25
17.29,17.06,10000,50,25
17.32,17.06,10000,50,25
17.24,17.05,10000,50,25
17.22,17.06,10000,50,25
17.21,17.05,10000,50,50
17.25,17.06,10000,50,50
17.31,17.06,10000,50,50
17.26,17.05,10000,50,50
17.29,17.06,10000,50,50
17.23,17.05,10000,50,75
17.25,17.05,10000,50,75
17.32,17.06,10000,50,75
17.25,17.06,10000,50,75
17.33,17.06,10000,50,75
17.30,17.06,10000,50,100
17.27,17.06,10000,50,100
17.31,17.06,10000,50,100
17.28,17.06,10000,50,100
17.20,17.05,10000,50,100
17.26,17.06,10000,50,150
17.30,17.06,10000,50,150
17.24,17.06,10000,50,150
17.31,17.06,10000,50,150
17.26,17.06,10000,50,150
17.24,17.06,10000,50,200
17.26,17.06,10000,50,200
17.23,17.06,10000,50,200
17.33,17.05,10000,50,200
17.30,17.05,10000,50,200
8.61,8.49,10000,100,5
8.65,8.52,10000,100,5
8.63,8.47,10000,100,5
8.67,8.51,10000,100,5
8.63,8.51,10000,100,5
8.67,8.55,10000,100,10
8.60,8.54,10000,100,10
8.67,8.51,10000,100,10
8.67,8.53,10000,100,10
8.66,8.49,10000,100,10
8.67,8.52,10000,100,25
8.67,8.49,10000,100,25
8.67,8.50,10000,100,25
8.64,8.54,10000,100,25
8.62,8.47,10000,100,25
8.67,8.52,10000,100,50
8.63,8.51,10000,100,50
8.65,8.48,10000,100,50
8.64,8.51,10000,100,50
8.67,8.49,10000,100,50
8.66,8.51,10000,100,75
8.62,8.47,10000,100,75
