BBR_retransmissions,CUBIC_retransmissions,Buffer,Bandwidth,rtt
0,0,10000,20,50
0,0,10000,20,50
0,0,10000,20,50
0,0,10000,20,50
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,75
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,100
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,150
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,20,200
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,5
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,10
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,25
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,50
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,75
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,100
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,150
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,50,200
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,5
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,10
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,25
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,50
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,75
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,100
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,150
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,100,200
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,5
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,10
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,25
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,50
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,75
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,100
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,150
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,250,200
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,5
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,10
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,25
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,50
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,75
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,100
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,150
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,500,200
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,5
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,10
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,25
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,50
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,75
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,100
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,150
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,750,200
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,5
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,10
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,25
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,50
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,75
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,100
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,150
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
0,0,10000,1000,200
