Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 40728 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  42.00-43.00  sec  17.7 MBytes  148318 Kbits/sec    0   8.88 MBytes       
[  4]  43.00-44.00  sec  29.4 MBytes  246830 Kbits/sec    0   8.88 MBytes       
[  4]  44.00-45.00  sec  28.9 MBytes  242189 Kbits/sec    0   8.88 MBytes       
[  4]  45.00-46.00  sec  28.3 MBytes  237364 Kbits/sec    0   8.88 MBytes       
[  4]  46.00-47.00  sec  28.7 MBytes  240572 Kbits/sec    0   8.88 MBytes       
[  4]  47.00-48.00  sec  28.7 MBytes  240580 Kbits/sec    0   8.88 MBytes       
[  4]  48.00-49.00  sec  28.9 MBytes  242720 Kbits/sec    0   8.88 MBytes       
[  4]  49.00-50.00  sec  29.4 MBytes  246833 Kbits/sec    0   8.88 MBytes       
[  4]  50.00-51.00  sec  28.7 MBytes  241078 Kbits/sec    0   8.88 MBytes       
[  4]  51.00-52.00  sec  28.7 MBytes  240578 Kbits/sec    0   8.88 MBytes       
[  4]  52.00-53.00  sec  28.7 MBytes  240589 Kbits/sec    0   8.88 MBytes       
[  4]  53.00-54.00  sec  28.6 MBytes  240060 Kbits/sec    0   8.88 MBytes       
[  4]  54.00-55.00  sec  28.7 MBytes  240583 Kbits/sec    0   8.88 MBytes       
[  4]  55.00-56.00  sec  28.9 MBytes  242723 Kbits/sec    0   8.88 MBytes       
[  4]  56.00-57.00  sec  28.9 MBytes  242676 Kbits/sec    0   8.88 MBytes       
[  4]  57.00-58.00  sec  28.7 MBytes  240544 Kbits/sec    0   8.88 MBytes       
[  4]  58.00-59.00  sec  28.9 MBytes  242710 Kbits/sec    0   8.88 MBytes       
[  4]  59.00-60.00  sec  28.7 MBytes  240540 Kbits/sec    0   8.88 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  1.64 GBytes  234380 Kbits/sec    0             sender
[  4]   0.00-60.00  sec  1.64 GBytes  234224 Kbits/sec                  receiver

iperf Done.
